Gender,Height,Weight,Index
male,68.78190405,162.3104725,2
male,74.11010539,212.7408556,3
male,71.7309784,220.0424703,4
male,69.88179586,206.3498006,5
male,67.25301569,152.2121558,6
male,68.78508125,183.9278886,7
male,68.34851551,167.9711105,8
male,67.01894966,175.9294404,9
male,63.45649398,156.3996764,10
male,71.19538228,186.6049256,11
male,71.64080512,213.7411695,12
male,64.76632913,167.1274611,13
male,69.2830701,189.4461814,14
male,69.24373223,186.434168,15
male,67.6456197,172.1869301,16
male,72.41831663,196.0285063,17
male,63.97432572,172.8834702,18
male,69.6400599,185.9839576,19
male,67.93600485,182.426648,20
male,67.91505019,174.1159291,21
male,69.43943987,197.7314216,22
male,66.14913196,149.173566,23
male,75.20597361,228.7617806,24
male,67.89319634,162.0066518,25
male,68.1440328,192.3439766,26
male,69.08963143,184.4351744,27
male,72.80084352,206.8281894,28
male,67.42124228,175.2139224,29
male,68.49641536,154.3426389,30
male,68.61811055,187.5068432,31
male,74.03380762,212.9102253,32
male,71.52821604,195.0322432,33
male,69.1801611,205.1836213,34
male,69.57720237,204.1641255,35
male,70.40092889,192.9035151,36
male,69.07617117,197.4882426,37
male,67.19352328,183.8109732,38
male,65.80731565,163.8518249,39
male,64.30418789,163.1080171,40
male,67.97433623,172.1355974,41
male,72.18942596,194.0454049,42
male,65.27034552,168.6177462,43
male,66.09017738,161.1934326,44
male,67.51032152,164.6602773,45
male,70.10478626,188.9223032,46
male,68.25183644,187.0605522,47
male,72.17270912,209.0708634,48
male,69.17985762,192.0143354,49
male,72.87036015,211.3424968,50
male,64.78258298,165.6116262,51
male,70.18354989,201.0719181,52
male,68.49145025,173.4239603,53
male,67.33083088,181.4076793,54
male,66.99094408,169.7377074,55
male,66.4995499,163.3095283,56
male,68.35305665,189.7102099,57
male,70.77445907,192.1248473,58
male,71.21592367,198.1984641,59
male,70.01336535,209.5264998,60
male,71.40318222,198.7597927,61
male,69.55200509,198.0795237,62
male,73.81853456,195.2906122,63
male,66.99688275,164.943303,64
male,71.41846589,179.8639023,65
male,65.27930021,155.2504207,66
male,68.27419147,184.5193912,67
male,72.76536995,220.6780415,68
male,68.0993798,183.3126553,69
male,68.89670607,196.4513123,70
male,69.28950996,184.5956083,71
male,70.52322452,207.5328385,72
male,69.66372523,177.2009288,73
male,67.59526881,163.1080022,74
male,72.50812038,216.2182301,75
male,71.2529856,204.6554938,76
male,71.80918689,200.9205712,77
male,72.24516548,220.9017699,78
male,66.51262766,196.4498603,79
male,66.029034,168.64081,80
male,67.57715394,181.432713,81
male,68.2465686,198.6586733,82
male,73.826127,237.9167359,83
male,69.80246436,173.0412559,84
male,65.95957778,160.6839166,85
male,71.07901758,188.6029191,86
male,66.59619654,208.345694,87
male,68.95153509,193.4351185,88
male,68.24446179,174.1096938,89
male,72.31682512,197.3685892,90
male,71.81542045,201.6206667,91
male,65.23704952,181.0119732,92
male,70.64053009,182.122486,93
male,64.7319256,177.5492634,94
male,67.10355118,164.9745807,95
male,65.11748489,165.7171122,96
male,71.70123402,193.0941635,97
male,66.83287821,180.683887,98
male,66.47127526,172.7737229,99
male,69.41152622,177.4706162,100
male,70.05217747,200.8187373,101
male,66.74360465,167.7397753,102
male,66.27432912,154.3956248,103
male,68.32844799,177.9847286,104
male,70.0758882,183.938857,105
male,68.73298815,179.2047821,106
male,67.55605126,158.5679874,107
male,66.25363253,166.5035316,108
male,69.18220268,171.9836776,109
male,67.60910494,174.3641824,110
male,69.29273802,187.7453519,111
male,68.19068401,201.4879624,112
male,71.6070858,204.9270121,113
male,69.19685751,178.6855465,114
male,67.26196098,164.0144277,115
male,73.6851934,223.2700044,116
male,69.53721501,202.9583063,117
male,68.31155984,189.3917856,118
male,67.73896347,178.1705556,119
male,71.7057626,223.2993352,120
male,63.6322646,167.0287067,121
male,68.72119846,180.468682,122
male,66.94934165,164.4391456,123
male,62.70698974,149.9696184,124
male,72.25840892,192.9102666,125
male,70.90865306,201.8839987,126
male,67.6098436,179.868026,127
male,70.80155896,196.4677247,128
male,69.30476905,187.5516495,129
male,66.24289834,171.6931597,130
male,67.49219298,191.6996048,131
male,65.80624829,165.8506478,132
male,71.44370566,185.6627413,133
male,68.46440582,178.2818007,134
male,63.9879246,150.9790513,135
male,71.00189769,209.9293234,136
male,68.13972419,174.1578043,137
male,68.39540025,179.8789771,138
male,68.09621975,167.7471412,139
male,68.14059036,183.0446604,140
male,68.86009031,169.5568208,141
male,66.14885254,173.4316727,142
male,66.20603205,180.8895546,143
male,67.43212021,183.5089329,144
male,69.47110603,205.9779102,145
male,70.51585969,183.7598452,146
male,71.33837604,201.9544955,147
male,71.00194477,216.1200947,148
male,66.20234771,159.3903237,149
male,72.54330705,210.3364247,150
male,67.47935176,178.6183502,151
male,65.35041056,146.7397976,152
male,70.84406242,195.937015,153
male,69.93847526,170.1758538,154
male,64.73981548,169.6540541,155
male,69.30840288,198.3786936,156
male,68.83846286,179.9077169,157
male,61.93732327,147.2636865,158
male,68.59333554,176.9842511,159
male,65.21857558,185.4677884,160
male,64.33364811,177.4938023,161
male,68.7489067,169.8274774,162
male,72.4896554,198.5816982,163
male,67.23393092,203.3503393,164
male,67.26360484,193.2176727,165
male,65.11850428,178.1349452,166
male,66.26282004,162.7795834,167
male,67.70167966,159.2865106,168
male,65.53069597,172.114312,169
male,69.86896981,201.8370426,170
male,68.48187536,170.3523296,171
male,72.21396335,205.3897607,172
male,68.17953269,169.7877681,173
male,71.98120654,200.4373105,174
male,66.06513673,178.588954,175
male,66.65616417,168.0140297,176
male,67.5994242,177.7664258,177
male,68.24594409,193.277624,178
male,64.80862144,162.3795406,179
male,67.49221827,183.3838244,180
male,68.18073071,181.0560953,181
male,69.5533849,210.871799,182
male,66.40224967,165.5684991,183
male,66.59215711,196.1484498,184
male,71.93588658,202.0464252,185
male,68.28704173,170.4136025,186
male,69.9554512,201.9480853,187
male,71.85112915,193.3869846,188
male,65.75549864,179.8556896,189
male,67.03185208,156.489935,190
male,76.70983486,235.0354188,191
male,72.57112137,230.560535,192
male,69.7288049,203.895655,193
male,72.799224,218.2163966,194
male,72.53935407,222.6671779,195
male,72.29474338,208.4748659,196
male,67.25332482,180.77978,197
male,75.94446038,231.9247485,198
male,66.31623192,170.5938581,199
male,71.15605349,188.2714563,200
male,71.19220229,196.0615292,201
male,72.19751201,214.6035842,202
male,75.14082143,224.1242713,203
male,64.41152936,158.5793973,204
male,64.73442436,166.5011147,205
male,63.41458714,160.1406156,206
male,67.84866523,176.1726343,207
male,65.93178483,174.4852947,208
male,70.96655044,193.9064988,209
male,67.58074728,186.9916067,210
male,68.58927044,173.5957961,211
male,70.32475344,193.3465603,212
male,72.39448041,208.436509,213
male,70.82085671,206.0329778,214
male,65.90330126,172.575231,215
male,74.79537502,232.6354028,216
male,67.68091903,177.2401455,217
male,67.15596277,175.6466902,218
male,71.77484122,212.6261023,219
male,64.66523194,166.969204,220
male,68.12276836,196.4144153,221
male,66.78692724,165.4312422,222
male,66.80584984,176.5658186,223
male,67.8860138,174.6520347,224
male,69.17357692,195.2375293,225
male,70.22492333,205.6844384,226
male,64.85579918,158.3414424,227
male,67.82109327,169.0810083,228
male,63.44024747,135.6558759,229
male,71.84843485,218.1574695,230
male,66.72807365,155.8995413,231
male,71.96830565,201.5281774,232
male,76.02134748,235.9260606,233
male,71.47610128,195.3926176,234
male,67.36980864,176.6361636,235
male,70.55524376,198.4602486,236
male,69.86710128,185.71691,237
male,67.94757004,177.3477798,238
male,74.10455886,215.7597035,239
male,69.1678363,187.0224203,240
male,66.55722857,171.5878843,241
male,66.70160499,172.8398091,242
male,67.24606495,168.2802869,243
male,69.05138548,163.8204889,244
male,70.67274718,190.0234342,245
male,65.49899512,156.8699517,246
male,65.18722085,172.6064826,247
male,67.56814301,169.063983,248
male,73.81538569,231.3745081,249
male,71.60656421,207.2504768,250
male,67.72474924,172.1527722,251
male,68.23113195,199.827758,252
male,65.92942171,168.0904122,253
male,71.54849571,197.8196148,254
male,69.16438112,196.892315,255
male,68.59765932,180.2217801,256
male,71.05751089,189.1340124,257
male,63.64405958,158.4227173,258
male,71.1824554,208.9226827,259
male,66.12867317,187.1411195,260
male,65.05737312,157.5824315,261
male,68.09137436,181.644445,262
male,70.9931439,204.7466782,263
male,74.22117488,231.1301898,264
male,69.32711818,186.2584296,265
male,64.93134219,181.0938696,266
male,68.34684231,198.9209797,267
male,70.92912508,203.3704632,268
male,61.4778092,161.0287521,269
male,68.49081272,189.8066818,270
male,72.04988987,200.2028285,271
male,72.52166703,221.8626503,272
male,71.23391139,214.0601482,273
male,72.25911519,201.7014216,274
male,67.5650399,187.1870936,275
male,72.26760699,196.5274669,276
male,62.600248,151.7207037,277
male,66.23643729,167.2975303,278
male,69.65043741,198.843696,279
male,69.28592141,178.789548,280
male,70.72527874,193.5392521,281
male,68.82861496,197.737905,282
male,66.01442823,184.4618115,283
male,66.41488206,155.1947717,284
male,66.61562439,160.9919899,285
male,68.03482178,189.0844617,286
male,70.50239804,172.9857771,287
male,69.15772949,195.8952569,288
male,70.79502261,215.7464553,289
male,65.19437712,166.7073731,290
male,74.78571432,239.4643429,291
male,71.06690628,184.2792458,292
